score date Name1 Name2
80 1645422746 Andras Reichardt
54 1645423041 Andras Reichardt
69 1645423206 Andras Reichardt
95 1645423386 Andras Reichardt
62 1645423566 Andras Reichardt
72 1645423693 Andras Reichardt
84 1645468136 Andras Reichardt
67 1645468523 Andras Reichardt
56 1645468995 Andras Reichardt
65 1645469209 Andras Reichardt
57 1645469268 Andras Reichardt
63 1645469367 Andras Reichardt
70 1645469715 Andras Reichardt
92 1645469810 Andras Reichardt
70 1645509767 Andras Reichardt
58 1645509849 Andras Reichardt
50 1645509956 Andras Reichardt
80 1645510042 Andras Reichardt
81 1645510213 Andras Reichardt
67 1645510360 Andras Reichardt
79 1645595671 Andras Reichardt
79 1645595781 Andras Reichardt
59 1645595903 Andras Reichardt
72 1645595979 Andras Reichardt
80 1645596166 Andras Reichardt
55 1645596292 Andras Reichardt
61 1645596427 Andras Reichardt
74 1645642366 Andras Reichardt
71 1645642440 Andras Reichardt
73 1645642583 Andras Reichardt
66 1645642712 Andras Reichardt
61 1645642775 Andras Reichardt
58 1645642845 Andras Reichardt
58 1645643012 Andras Reichardt
49 1645643064 Andras Reichardt
69 1645643192 Andras Reichardt
70 1645644766 Andras Reichardt
75 1645645393 Andras Reichardt
62 1645645486 Andras Reichardt
85 1645645589 Andras Reichardt
70 1645645933 Andras Reichardt
65 1645646007 Andras Reichardt
57 1645646074 Andras Reichardt
76 1645646196 Andras Reichardt
70 1645678941 Andras Reichardt
101 1645679984 Andras Reichardt
69 1645680062 Andras Reichardt
65 1645680170 Andras Reichardt
57 1645680599 Andras Reichardt
67 1645680684 Andras Reichardt
65 1645680776 Andras Reichardt
115 1645680913 Andras Reichardt
66 1645680982 Andras Reichardt
92 1645681956 Andras Reichardt
63 1645726447 Andras Reichardt
68 1645726526 Andras Reichardt
53 1645727150 Andras Reichardt
81 1645941213 Andras Reichardt
74 1645941289 Andras Reichardt
96 1645970837 Andras Reichardt
145 1645974146 Andras Reichardt
72 1645974717 Andras Reichardt
64 1645974787 Andras Reichardt
62 1645975011 Andras Reichardt
82 1645975295 Andras Reichardt
87 1645975728 Andras Reichardt
67 1645975852 Andras Reichardt
69 1645976023 Andras Reichardt
58 1646146150 Andras Reichardt
65 1646146228 Andras Reichardt
69 1646151943 Andras Reichardt
62 1646152012 Andras Reichardt
62 1646152077 Andras Reichardt
61 1646152157 Andras Reichardt
74 1646152361 Andras Reichardt
63 1646152427 Andras Reichardt
65 1646153044 Andras Reichardt
66 1646153164 Andras Reichardt
68 1646159356 Andras Reichardt
77 1646159437 Andras Reichardt
65 1646160112 Andras Reichardt
80 1646160200 Andras Reichardt
63 1646160327 Andras Reichardt
59 1646160704 Andras Reichardt
56 1646160871 Andras Reichardt
57 1646160932 Andras Reichardt
58 1646161031 Andras Reichardt
65 1646161108 Andras Reichardt
60 1646161670 Andras Reichardt
65 1646162292 Andras Reichardt
73 1646162373 Andras Reichardt
55 1646201705 Andras Reichardt
54 1646237721 Andras Reichardt
93 1646238009 Andras Reichardt
175 1646238243 Andras Reichardt
98 1646238402 Andras Reichardt
76 1646239564 Andras Reichardt
70 1646239637 Andras Reichardt
78 1646239788 Andras Reichardt
115 1646329634 Andras Reichardt
65 1646329769 Andras Reichardt
70 1646329845 Andras Reichardt
62 1646329910 Andras Reichardt
80 1646329994 Andras Reichardt
71 1646330273 Andras Reichardt
58 1646330335 Andras Reichardt
63 1646330410 Andras Reichardt
67 1646330485 Andras Reichardt
59 1646338060 Andras Reichardt
72 1646338188 Andras Reichardt
76 1646338311 Andras Reichardt
67 1646338442 Andras Reichardt
60 1646340629 Andras Reichardt
80 1646423390 Andras Reichardt
59 1646423711 Andras Reichardt
58 1646423772 Andras Reichardt
82 1646423856 Andras Reichardt
64 1646424027 Andras Reichardt
51 1646424198 Andras Reichardt
65 1646424288 Andras Reichardt
62 1646424471 Andras Reichardt
73 1646424547 Andras Reichardt
64 1646424660 Andras Reichardt
73 1646425329 Andras Reichardt
61 1646425905 Andras Reichardt
57 1646426065 Andras Reichardt
69 1646477793 Andras Reichardt
62 1646477857 Andras Reichardt
69 1646477929 Andras Reichardt
60 1646477990 Andras Reichardt
57 1646478110 Andras Reichardt
62 1646478228 Andras Reichardt
66 1646478321 Andras Reichardt
56 1646478381 Andras Reichardt
73 1646478458 Andras Reichardt
70 1646480090 Andras Reichardt
54 1646480682 Andras Reichardt
83 1646482797 Andras Reichardt
68 1646490722 Andras Reichardt
66 1646490819 Andras Reichardt
80 1646490902 Andras Reichardt
61 1646491006 Andras Reichardt
75 1646491086 Andras Reichardt
73 1646491444 Andras Reichardt
71 1646491517 Andras Reichardt
87 1646492487 Andras Reichardt
90 1646492797 Andras Reichardt
52 1646492851 Andras Reichardt
64 1646492945 Andras Reichardt
64 1646493011 Andras Reichardt
72 1646493254 Andras Reichardt
62 1646493393 Andras Reichardt
74 1646493537 Andras Reichardt
69 1646494464 Andras Reichardt
60 1646494568 Andras Reichardt
48 1646494653 Andras Reichardt
55 1646494715 Andras Reichardt
67 1646494842 Andras Reichardt
69 1646494919 Andras Reichardt
71 1646494994 Andras Reichardt
50 1646675924 Andras Reichardt
4979 1646681000 Andras Reichardt
55 1646756038 Andras Reichardt
72 1646756994 Andras Reichardt
